"Nombre_PA";"Page";"IDNum";"centre";"agence";"superviseur";"secteur";"syndicat";"commune";"nom_site";"code_ppv";"an_service";"numero_esclave";"code_id";"code_station";"pages_annexes";"activites";"categorie";"energie";"support";"num_appel";"num_secours";"adresse_ip";"intersite";"site_lie";"rmqintersite";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers"
0;"GQ";2053;;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"SUD-RHONE";"GRAND LYON";;"RESERVOIR Le Monay";"0";0;36;"0-0";"GQ";"";"Eau potable";"Réservoir";"EDF";"RTC";"04 72 24 21 16";"";"";"Non";;;"Sofrel";"S50";"";"";"M2";;
0;"GR";2054;;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"SUD-RHONE";"GRAND LYON";;"VANNE Rue de la Paix";"0";0;37;"0-0";"GR";;"Eau potable";"Vanne";"EDF";"RTC";"04 72 24 33 73";;;"Non";;;"Sofrel";"S50";;;"M2";;
0;"GS";2055;;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"SUD-RHONE";"GRAND LYON";;"RESERVOIR Saint Lazare";"0";0;38;"0-0";"GS";"";"Eau potable";"Réservoir";"EDF";"RTC";"04 78 73 47 65";"";"";"Non";;;"Sofrel";"S50";"";"";"M2";;
0;"GU";2057;;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"SUD-RHONE";"GRAND LYON";;"COMPTEUR Pont de Montrond";"0";0;34;"0-0";"GU";;"Eau potable";"Relevé de compteur";"EDF";"RTC";"04 78 73 85 26";;;"Non";;;"Sofrel";"S500";;;"M2";;
0;"GV";2204;;"Centre-Rhône";"EP Mions Grand Lyon";"NORD";"GRAND LYON";"RILLIEUX-LA-PAPE";"RESERVOIR TOUR_LES SEMAILLES - RILLIEUX-LA-PAPE";"7173";0;26;"0 - 0";"GV";"GU";"Eau potable";"Réservoir";"EDF";"RTC";"04 78 88 62 82";"";"";"LP";"LP Avec R Vancia";;"Perax";"P200Xm";"";"";"";"";""
0;"GY";2060;;"Sud-Rhône";"EP Sud-Rhône / Centre-Rhône";"SUD-RHONE";"LOIRE";"LOIRE-SUR-RHÔNE";"RESERVOIR_LE MORIAT - LOIRE-SUR-RHÔNE";"6407";0;50;"0-0";"GY";;"Eau potable";"Réservoir";"EDF";"RTC";"04 78 73 72 42";;;"Non";;;"Sofrel";"S50";;;"M2";;
0;"H0";1445;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"CHAMBOST-ALLIÈRES";"RES CANTINIERE - CHAMBOST ALLIERES";"5858";0;96;"0-4";"H0";"";"Eau potable";"Réservoir";"EDF";"RTC";"04 74 60 17 80";"";"";"RTC";"RTC Cocon";;"Sofrel";"S50";"4.24";"";"M4-P4";;
0;"H3";1446;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"CHAMELET";"SR LA CHAPELLE- CHAMELET";"5831";0;97;"0-4";"H3";"";"Eau potable";"Pompage";"EDF";"RTC";"04 74 71 97 46";"";"";"RTC";"RTC Le Cocon";;"Sofrel";"S50";"4.15";"";"M4-P4";;
0;"H5";1447;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"CHAMELET";"SR LE COCON - CHAMELET";"5840";0;98;"0-4";"H5";"";"Eau potable";"Pompage réservoir";"EDF";"RTC";"04 74 71 30 95";"";"";"RTC";"RTC Chapelle et Cantinière";;"Sofrel";"S50";"4.15";"";"M4-P4";;
0;"H7";1448;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"CHAMELET";"SR VAURION - CHAMELET";"5830";0;99;"0-4";"H7";"";"Eau potable";"Pompage";"EDF";"RTC";"04 74 71 33 79";"";"";"RTC";"RTC Peignaux";;"Sofrel";"S50";"4.15";"";"M4-P4";;
0;"H8";1449;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"CHAMELET";"RES LES PEIGNAUX - CHAMELET";"5850";0;213;"0-4";"H8";"";"Eau potable";"Réservoir";"Autonome (Pile)";"RTC";"04 78 36 54 85";"";"";"RTC";"RTC Vaurion";;"Sofrel";"Telbox";"4.10.12";"";"M4-P4";;
