"Nombre_PA";"Page";"IDNum";"IDKey";"numero_esclave";"code_ppv";"code_id";"centre";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers";"rmqintersite";"site_lie";"intersite";"adresse_ip";"num_secours"
0;"M1";1021;"86_PDD_M1_SOFREL_";86;"0";;"Loire Auvergne";"PDD";"PDD_CA";"Autre";"Autre";;"Clermont";"Autre";"Pompage Formation API";2002;"M1";;"EDF";"RTC";"04 73 28 66 08";"Sofrel";"S50";"5.46";"02:10";"PDD Eau Potable";;;;;;;
0;"M1";1023;"31_CCANL_M1_SOFREL";31;"78443";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Allier";;"Montluçon";"Pompage";"Montluçon Pompage";2005;"M1";"";"-----------";"RTC";"04 70 08 05 53";"Sofrel";"S50";"5.44";"05:09";"St Eloy";;;;;;;
0;"M2";958;"17_LHL_M2_WIT";17;"12232";"";"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"Villars";"Réservoir";"Grand Charlieu";1998;"M2";"";"EDF";"RTC";"04 77 79 29 38";"WIT";"5120";"92a";"06:44";"Grand Croix";"";"";;;;;
0;"M2";1018;"88_PDD_M2_PERAX";88;"0";;"Loire Auvergne";"PDD";"PDD_CA";"Autre";"Autre";;"Clermont";"Autre";"PR Formation";2002;"M2";;"EDF";"RTC";"04 73 28 66 08";"Perax";"P200 Xm";"5.67";"02:00";"PDD Assainissement";;;;;;;
0;"M2";1024;"32_CCANL_M2_SOFREL";32;"78444";"";"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Allier";;"Montluçon";"Réservoir";"Montluçon Réservoir";2005;"M2";"";"-----------";"RTC";"04 70 08 02 61";"Sofrel";"S50";"5.44";"05:10";"St Eloy";"";"";;;;;
0;"M4";1092;"87_PDD_M4_SOFREL";87;"0";;"Loire Auvergne";"PDD";"PDD_CA";"Autre";"Autre";;"Clermont";"Autre";"S550 Formation";2007;"M4";;"EDF";"RTC";"04 73 28 66 08";"Sofrel";"S550";"3.10";"00:00";"PDD Eau Potable";;;;;;;
0;"M5";1095;"227_PDD_M5_SOFREL";227;"60251";"";"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"Syndicat de la Vallée de la Veyre";"Poste de relevage";"PR Sainte PR Sainte Marguerite";2007;"M5";"";"EDF";"RTC";"04 73 39 78 37";"Sofrel";"S50";"5.47";"04:12";"PDD Assainissement";"";"";;;;;
0;"M51";1437;;228;"58936";"";"Loire Auvergne";"CCANL";"CCANL";"Assainissement";"Moulins";;"C.A.Moulins";"STEP";"STEP Saint-Ennemond";2012;"M51";"";"EDF";"GSM";"06 12 08 95 94";"Sofrel";"S530";"3.23";"03:28";"Moulins";"";"";;;;;
0;"M6";849;"1_CCANL_M6_PERAX";1;"58980";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Corrèze";;"Commune d Egletons";"Relevé de compteur";"Compteur Lycée Pierre Caraminot";2007;"M6";;"Autonome (Pile)";"GSM";"06 31 05 44 91";"Perax";"P16 XT SMS";"1.9";"06:00";"Corrèze";;;;;;;
0;"M6";1067;"0_LHL_T6_WIT";0;"59074";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"La Fouillouse";"Relevé de compteur";"La Mure";2008;"M6";;"Autonome (Pile)";"GSM";"06 42 40 08 54";"WIT";"Twiny Cube";;"05:45";"Grand Croix";;;;;;;
0;"M6";1560;;170;"20934";;"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"Aydat";"Poste de relevage";"PR Chadelas";2013;"M6";;"EDF";"GSM";"06 66 50 74 19";"Sofrel";"S530";"4.11";"05:44";"PDD Assainissement";;;;;;;
0;"M7";1030;"0_LHL_T7_WIT";0;"78654";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"La Fouillouse";"Relevé de compteur";"Les Perrotins";2008;"M7";;"Autonome (Pile)";"GSM";"06 42 40 11 38";"WIT";"Twiny Cube";;"06:00";"Grand Croix";;;;;;;
0;"M7";1069;"2_CCANL_M7_PERAX";2;"12013";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Corrèze";;"Commune d Egletons";"Relevé de compteur";"Compteur STEP Egletons";2007;"M7";;"Autonome (Pile)";"GSM";"06 31 05 43 52";"Perax";"P16 XT SMS";"1.9";"06:00";"Corrèze";;;;;;;
0;"M8";1032;"0_LHL_T5_WIT";0;"59076";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"La Fouillouse";"Relevé de compteur";"Allée de l'aviation";2008;"M8";;"Autonome (Pile)";"GSM";"06 42 40 07 38";"WIT";"Twiny Cube";;"05:30";"Grand Croix";;;;;;;
0;"M9";1028;"29_CCANL_M9_SOFREL";29;"12052";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Creuse";;"Syndicat de la Rozeille";"Réservoir";"Les Bordes";2006;"M9";;"EDF";"RTC";"05 55 65 66 59";"Sofrel";"S50";"5.46";"05:58";"Creuse Sud";;;;;;;
0;"M9";1033;"0_LHL_T4_WIT";0;"66362";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"La Fouillouse";"Relevé de compteur";"Andrézieux";2008;"M9";;"Autonome (Pile)";"GSM";"06 42 40 12 90";"WIT";"Twiny Cube";;"05:15";"Grand Croix";;;;;;;
0;"MA";308;"125_CCANL_MA_SOFREL";125;"11957";;"Loire Auvergne";"CCANL";"CCANL";"Assainissement";"Allier";;"Commune de Varennes";"Poste de relevage";"Pépinnière";1999;"MA";"MB";"EDF";"RTC";"04 70 45 98 49";"Sofrel";"S50";"4.15";"04:09";"Varennes";;;;;;;
