"Nombre_PA";"Page";"IDNum";"numero_esclave";"code_ppv";"code_id";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"num_secours";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"adresse_ip";"intersite";"site_lie";"rmqintersite";"digicode";"divers"
0;"A3";1303;68;"6276";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"ANSE";"SAONE TURDINE";"Station de traitement";"SP JONCHAY TRT1 - ANSE";0;"A3";"";"EDF";"RTC";"04 37 55 02 59";"";"Sofrel";"S50";"5.41";"";"M3-P3";"";;;"";;
0;"A30";1538;31;"7020";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-ANDRÉ-DE-CORCY";"SAINT ANDRE DE CORCY";"Poste de relevage";"PR ZI RN 83 - ST ANDRE CORCY";0;"A30";"";"EDF";"RTC";"04 72 08 53 40";"";"Perax";"P200Xm";"0022 5.65";"";"M3/A3";"";;;"";;
0;"A31";1494;32;"6911";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"BEYNOST";"BEYNOST";"Poste de relevage";"PR CHEMIN SERMORAZ - BEYNOST";1999;"A31";"";"EDF";"RTC";"04 78 55 94 16";"";"Perax";"P200Xm";"000N 5.67";"";"M3/A3";"";;;"";;
0;"A32";1493;33;"6910";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"BEYNOST";"BEYNOST";"Poste de relevage";"PR RN 84 St PIERRE -  BEYNOST";1999;"A32";"";"EDF";"RTC";"04 78 55 08 77";"";"Perax";"P200Xm";"000N 5.67";"";"M3/A3";"";;;"";;
0;"A33";1495;34;"6912";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"BEYNOST";"BEYNOST";"Poste de relevage";"PR LA GARE - BEYNOST";1999;"A33";"";"EDF";"RTC";"04 78 55 17 25";"";"Perax";"P200Xm";"000N 5.67";"";"M3/A3";"";;;"";;
0;"A34";1545;35;"6872";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-MAURICE-DE-BEYNOST";"SAINT MAURICE DE BEYNOST";"Poste de relevage";"PR TORAY - St MAURICE DE BEYNOST";1998;"A34";"";"EDF";"GSM";"06 83 77 45 94";"";"Perax";"P200Xm";"0023 5.71";"";"M3/A3";"";;;"";;
0;"A35";1549;36;"6873";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-MAURICE-DE-BEYNOST";"SAINT MAURICE DE BEYNOST";"Poste de relevage";"PR ZI DES COMBES - St MAURICE DE B.";1986;"A35";"";"EDF";"GSM";"06 83 77 46 30";"";"Perax";"P200Xm";"0023 5.71";"";"M3/A3";"";;;"";;
0;"A36";1547;37;"6871";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-MAURICE-DE-BEYNOST";"SAINT MAURICE DE BEYNOST";"Poste de relevage";"PR LES ECOLES - St MAURICE DE B.";1987;"A36";"";"EDF";"GSM";"06 83 77 47 67";"";"Perax";"P200Xm";"0023 5.71";"";"M3/A3";"";;;"";;
0;"A37";1548;38;"6874";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-MAURICE-DE-BEYNOST";"SAINT MAURICE DE BEYNOST";"Poste de relevage";"PR FORUM DES SPORTS-St MAURICE DE B.";0;"A37";"";"EDF";"GSM";"06 83 77 46 96";"";"Perax";"P200Xm";"0023 5.72";"";"M3/A3";"";;;"";;
0;"A38";1546;39;"6870";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-MAURICE-DE-BEYNOST";"SAINT MAURICE DE BEYNOST";"Poste de relevage";"PR ZAC BROTTEAUX - St MAURICE DE B.";1995;"A38";"";"EDF";"GSM";"06 83 77 47 05";"";"Perax";"P200Xm";"0023 5.71";"";"M3/A3";"";;;"";;
